t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8020.02,111769,151382,-1916508,9919,547811,8628,ptp4l[8020.020]: rms 111769 max 151382 freq -1916508 +/- 9919 delay 547811 +/- 8628,112.09800000000087,112,56,low,run10,client
8022.02,333351,448316,-1891652,15350,556082,13655,ptp4l[8022.020]: rms 333351 max 448316 freq -1891652 +/- 15350 delay 556082 +/- 13655,114.09800000000087,114,57,low,run10,client
8024.022,374284,485825,-1885746,13680,610621,0,ptp4l[8024.022]: rms 374284 max 485825 freq -1885746 +/- 13680 delay 610621 +/-   0,116.10000000000036,116,58,low,run10,client
8026.023,229709,276537,-1897779,5442,572624,0,ptp4l[8026.023]: rms 229709 max 276537 freq -1897779 +/- 5442 delay 572624 +/-   0,118.10100000000057,118,59,low,run10,client
8028.025,167182,230917,-1905651,8982,572624,0,ptp4l[8028.025]: rms 167182 max 230917 freq -1905651 +/- 8982 delay 572624 +/-   0,120.10300000000007,120,60,low,run10,client
8030.03,93387,95298,-1919952,9382,572624,0,ptp4l[8030.030]: rms 93387 max 95298 freq -1919952 +/- 9382 delay 572624 +/-   0,122.10800000000017,122,61,low,run10,client
8032.031,141853,175364,-1915826,13727,610621,0,ptp4l[8032.031]: rms 141853 max 175364 freq -1915826 +/- 13727 delay 610621 +/-   0,124.10900000000038,124,62,low,run10,client
8034.029,302428,411891,-1904710,26560,620829,0,ptp4l[8034.029]: rms 302428 max 411891 freq -1904710 +/- 26560 delay 620829 +/-   0,126.10700000000088,126,63,low,run10,client
8036.031,353463,498550,-1895747,26762,675524,0,ptp4l[8036.031]: rms 353463 max 498550 freq -1895747 +/- 26762 delay 675524 +/-   0,128.10900000000038,128,64,low,run10,client
8038.034,1495507,2113831,-1815661,110213,663792,23684,ptp4l[8038.034]: rms 1495507 max 2113831 freq -1815661 +/- 110213 delay 663792 +/- 23684,130.11200000000008,130,65,low,run10,client
